id_municipio,municipio_nome,regiaoadm_nome
3500105,Adamantina,Presidente Prudente
3500204,Adolfo,São José do Rio Preto
3500303,Aguaí,Campinas
3500402,Águas da Prata,Campinas
3500501,Águas de Lindóia,Campinas
3500550,Águas de Santa Bárbara,Sorocaba
3500600,Águas de São Pedro,Campinas
3500709,Agudos,Bauru
3500758,Alambari,Sorocaba
3500808,Alfredo Marcondes,Presidente Prudente
3500907,Altair,Barretos
3501004,Altinópolis,Ribeirão Preto
3501103,Alto Alegre,Araçatuba
3501152,Alumínio,Sorocaba
3501202,Álvares Florence,São José do Rio Preto
3501301,Álvares Machado,Presidente Prudente
3501400,Álvaro de Carvalho,Marília
3501509,Alvinlândia,Marília
3501608,Americana,Campinas
3501707,Américo Brasiliense,Central
3501806,Américo de Campos,São José do Rio Preto
3501905,Amparo,Campinas
3502002,Analândia,Campinas
3502101,Andradina,Araçatuba
3502200,Angatuba,Sorocaba
3502309,Anhembi,Sorocaba
3502408,Anhumas,Presidente Prudente
3502507,Aparecida,São José dos Campos
3502606,Aparecida d'Oeste,São José do Rio Preto
3502705,Apiaí,Sorocaba
3502754,Araçariguama,Sorocaba
3502804,Araçatuba,Araçatuba
3502903,Araçoiaba da Serra,Sorocaba
3503000,Aramina,Franca
3503109,Arandu,Sorocaba
3503158,Arapeí,São José dos Campos
3503208,Araraquara,Central
3503307,Araras,Campinas
3503356,Arco-Íris,Marília
3503406,Arealva,Bauru
3503505,Areias,São José dos Campos
3503604,Areiópolis,Sorocaba
3503703,Ariranha,São José do Rio Preto
3503802,Artur Nogueira,Campinas
3503901,Arujá,São Paulo
3503950,Aspásia,São José do Rio Preto
3504008,Assis,Marília
3504107,Atibaia,Campinas
3504206,Auriflama,Araçatuba
3504305,Avaí,Bauru
3504404,Avanhandava,Araçatuba
3504503,Avaré,Sorocaba
3504602,Bady Bassitt,São José do Rio Preto
3504701,Balbinos,Bauru
3504800,Bálsamo,São José do Rio Preto
3504909,Bananal,São José dos Campos
3505005,Barão de Antonina,Sorocaba
3505104,Barbosa,Araçatuba
3505203,Bariri,Bauru
3505302,Barra Bonita,Bauru
3505351,Barra do Chapéu,Sorocaba
3505401,Barra do Turvo,Registro
3505500,Barretos,Barretos
3505609,Barrinha,Ribeirão Preto
3505708,Barueri,São Paulo
3505807,Bastos,Marília
3505906,Batatais,Franca
3506003,Bauru,Bauru
3506102,Bebedouro,Barretos
3506201,Bento de Abreu,Araçatuba
3506300,Bernardino de Campos,Marília
3506359,Bertioga,Baixada Santista
3506409,Bilac,Araçatuba
3506508,Birigui,Araçatuba
3506607,Biritiba-Mirim,São Paulo
3506706,Boa Esperança do Sul,Central
3506805,Bocaina,Bauru
3506904,Bofete,Sorocaba
3507001,Boituva,Sorocaba
3507100,Bom Jesus dos Perdões,Campinas
3507159,Bom Sucesso de Itararé,Sorocaba
3507209,Borá,Marília
3507308,Boracéia,Bauru
3507407,Borborema,Central
3507456,Borebi,Bauru
3507506,Botucatu,Sorocaba
3507605,Bragança Paulista,Campinas
3507704,Braúna,Araçatuba
3507753,Brejo Alegre,Araçatuba
3507803,Brodowski,Ribeirão Preto
3507902,Brotas,Campinas
3508009,Buri,Sorocaba
