id_municipio,municipio_nome,regiaogoverno_nome
3500105,Adamantina,Adamantina
3500204,Adolfo,São José do Rio Preto
3500303,Aguaí,São João da Boa Vista
3500402,Águas da Prata,São João da Boa Vista
3500501,Águas de Lindóia,Bragança Paulista
3500550,Águas de Santa Bárbara,Avaré
3500600,Águas de São Pedro,Piracicaba
3500709,Agudos,Bauru
3500758,Alambari,Itapetininga
3500808,Alfredo Marcondes,Presidente Prudente
3500907,Altair,Barretos
3501004,Altinópolis,Ribeirão Preto
3501103,Alto Alegre,Araçatuba
3501152,Alumínio,Sorocaba
3501202,Álvares Florence,Votuporanga
3501301,Álvares Machado,Presidente Prudente
3501400,Álvaro de Carvalho,Marília
3501509,Alvinlândia,Marília
3501608,Americana,Campinas
3501707,Américo Brasiliense,Araraquara
3501806,Américo de Campos,Votuporanga
3501905,Amparo,Bragança Paulista
3502002,Analândia,Rio Claro
3502101,Andradina,Andradina
3502200,Angatuba,Itapetininga
3502309,Anhembi,Botucatu
3502408,Anhumas,Presidente Prudente
3502507,Aparecida,Guaratinguetá
3502606,Aparecida d'Oeste,Jales
3502705,Apiaí,Itapeva
3502754,Araçariguama,Sorocaba
3502804,Araçatuba,Araçatuba
3502903,Araçoiaba da Serra,Sorocaba
3503000,Aramina,Franca
3503109,Arandu,Avaré
3503158,Arapeí,Cruzeiro
3503208,Araraquara,Araraquara
3503307,Araras,Limeira
3503356,Arco-Íris,Tupã
3503406,Arealva,Bauru
3503505,Areias,Cruzeiro
3503604,Areiópolis,Botucatu
3503703,Ariranha,Catanduva
3503802,Artur Nogueira,Campinas
3503901,Arujá,São Paulo
3503950,Aspásia,Jales
3504008,Assis,Assis
3504107,Atibaia,Bragança Paulista
3504206,Auriflama,Araçatuba
3504305,Avaí,Bauru
3504404,Avanhandava,Araçatuba
3504503,Avaré,Avaré
3504602,Bady Bassitt,São José do Rio Preto
3504701,Balbinos,Bauru
3504800,Bálsamo,São José do Rio Preto
3504909,Bananal,Cruzeiro
3505005,Barão de Antonina,Avaré
3505104,Barbosa,Araçatuba
3505203,Bariri,Jaú
